t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px,moved
109.0,124848.0,262.3280029296875,401.8232116699219,306.7362976074219,158.65246830753213,249.10961439762931,0.0,101713.0,-0.03383539465676222,0.4710613936789514,0.0
110.0,126130.0,262.8208923339844,402.3333435058594,307.0,159.3560164520146,250.3437636531016,0.0,102365.0,0.11811176285175407,0.5360315725490636,0.0
111.0,127324.0,263.7405700683594,403.2695617675781,307.24664306640625,160.02639978923247,251.62780052186025,0.0,103390.0,0.1679289188587063,0.17812258365842126,0.0
112.0,128546.0,264.2666320800781,403.8658142089844,308.4512023925781,160.69237677679362,252.73306075778848,0.0,104381.0,0.02860207938260828,-0.28655397302094343,0.0
113.0,129502.0,265.0345153808594,404.6076354980469,307.96551513671875,161.20440526656583,253.44979778457528,0.0,105453.0,0.17712342336540132,0.5384585170114633,0.0
114.0,130957.0,266.1129455566406,405.64202880859375,307.177490234375,162.0460570050688,254.6075411294803,0.0,106759.0,0.19297115572385337,0.5816954727969801,0.0
115.0,132065.0,267.19769287109375,406.717529296875,306.9892272949219,162.66331997368638,255.63450471327224,0.0,107681.0,-0.061735440668371666,0.5304094234439845,0.0
116.0,132486.0,267.19769287109375,406.717529296875,306.9892272949219,162.8924807800328,256.6028059082753,0.0,104200.0,55.13789443304324,-58.69712605120992,0.0
117.0,132486.0,267.19769287109375,406.717529296875,306.9892272949219,162.8924807800328,256.6028059082753,0.0,109769.0,51.64294195172897,-58.98356873621907,1.0
118.0,133546.0,270.3478698730469,410.0666198730469,310.67327880859375,163.4804862334581,258.68320393871727,0.0,107015.0,0.513262890185274,1.0504324135370666,0.0
119.0,136820.0,273.7968444824219,413.38360595703125,307.9651794433594,165.34957745697807,260.24795868555816,0.0,111343.0,-0.14014921889952348,0.9865224318554056,0.0
120.0,136820.0,273.7968444824219,413.38360595703125,307.9651794433594,165.34957745697807,260.24795868555816,0.0,111919.0,89.8927831575005,-56.673081829520584,1.0
121.0,138374.0,274.4023132324219,413.9443359375,307.1537780761719,166.2213786908965,261.8415551435639,0.0,113250.0,0.26973754344498957,0.8615871635986991,0.0
122.0,140136.0,275.3750915527344,414.8408508300781,305.8563537597656,167.25398458750232,263.1805463935357,0.0,114355.0,0.20229706993654872,0.6498104389355035,0.0
123.0,140966.0,276.4468688964844,415.8816833496094,305.33331298828125,167.72981619402563,263.62093996723377,0.0,115563.0,0.2984807551654285,0.7251419902132739,0.0
124.0,141905.0,277.54144287109375,416.9362487792969,304.6829833984375,168.26519280026565,264.2820463065927,0.0,113295.0,0.9738819399939302,1.1741287536097502,0.0
125.0,142835.0,278.7075500488281,418.07281494140625,304.20220947265625,168.84287533213947,265.11318337645906,0.0,113971.0,0.6576080524263261,0.7513683910299847,0.0
126.0,142835.0,278.7075500488281,418.07281494140625,304.20220947265625,168.84287533213947,265.11318337645906,0.0,117827.0,76.2405108774575,-49.77367126041304,1.0
127.0,144486.0,280.4425354003906,419.87847900390625,305.2232666015625,169.7608090366122,267.2377218685603,0.0,119258.0,0.406861419431948,0.7015372700183207,0.0
128.0,146412.0,283.4248352050781,422.87750244140625,305.3963317871094,170.89697353483854,268.48649872945197,0.0,120265.0,0.3749394405812154,0.32570644299784135,0.0
129.0,146412.0,283.4248352050781,422.87750244140625,305.3963317871094,170.89697353483854,268.48649872945197,0.0,121532.0,72.84497041898953,-52.56829902299961,1.0
130.0,147983.0,285.2286376953125,424.7108154296875,305.82220458984375,171.7738666332357,270.37936311782374,0.0,122150.0,0.15698237891410827,0.715359638390737,0.0
131.0,149707.0,287.4375,426.94921875,306.25445556640625,172.81407242899647,271.5905005650104,0.0,122967.0,0.1941889176607674,1.2080735771079958,0.0
132.0,150704.0,288.9197082519531,428.3691711425781,305.1744079589844,173.4131004961544,271.94815677333605,0.0,124491.0,0.40114507615714956,0.8506039826740448,0.0
133.0,151979.0,290.7896728515625,430.2572937011719,305.4136657714844,174.1838644209368,273.4849173172078,0.0,125187.0,0.23590777501101456,0.6729709984029455,0.0
134.0,153209.0,292.257080078125,428.5916442871094,305.8448181152344,174.97098652428318,274.83813418083014,0.0,126447.0,0.10566384660012318,0.9341037027259631,0.0
135.0,154528.0,293.8540954589844,427.4718933105469,305.6596374511719,175.75436167140472,276.0282594012003,0.0,127755.0,0.37861057283669197,1.1758682642109193,0.0
136.0,155576.0,294.7925109863281,428.08709716796875,305.1542663574219,176.41095069439166,277.0437690776173,0.0,128838.0,0.3264064497624304,0.4151864056441923,0.0
137.0,157478.0,295.27203369140625,427.706298828125,305.15985107421875,177.56644976634527,278.7418160233588,0.0,130241.0,0.4043378976754184,0.5247883673893057,0.0
138.0,158769.0,296.3125,426.5880432128906,304.91131591796875,178.3628878364671,280.14389159722094,0.0,131017.0,0.25547813343735015,0.6147771941513156,0.0
139.0,159908.0,296.97662353515625,426.4394226074219,305.2639465332031,179.002207027702,281.1138559374119,0.0,132203.0,0.17567229542271434,0.682067844945891,0.0
140.0,161006.0,297.14532470703125,425.48028564453125,305.29290771484375,179.64544091273035,282.14358046923553,0.0,133074.0,0.06635390553719844,0.8714077307118941,0.0
141.0,162156.0,297.5467529296875,424.0617370605469,305.6260070800781,180.26238220150185,283.08788387130903,0.0,131241.0,-0.11059348164531002,1.047682062568697,0.0
142.0,162633.0,298.20263671875,424.79034423828125,306.1470031738281,180.4814676257798,283.73579259585847,0.0,136965.0,15.178400461232513,-32.677207019089565,0.0
143.0,164549.0,299.0804138183594,424.7882385253906,307.0433654785156,181.41089067098855,285.616876252087,0.0,136300.0,0.6204398808307587,0.833834353341274,0.0
144.0,166224.0,299.9471740722656,421.7541809082031,307.7966003417969,182.35011972647564,287.14108030722457,0.0,136858.0,-0.05162035909063434,0.5989205335061456,0.0
145.0,166981.0,300.3578796386719,421.20086669921875,308.0685729980469,182.735317042516,287.4456470360962,0.0,138116.0,0.2545609991545916,0.6510190413250712,0.0
146.0,166981.0,300.3578796386719,421.20086669921875,308.0685729980469,182.735317042516,287.4456470360962,0.0,133618.0,73.9252184714785,-52.823335456904545,1.0
147.0,166981.0,300.3578796386719,421.20086669921875,308.0685729980469,182.735317042516,287.4456470360962,0.0,138173.0,72.14798251612513,-53.82893038028726,1.0
148.0,166981.0,300.3578796386719,421.20086669921875,308.0685729980469,182.735317042516,287.4456470360962,0.0,135061.0,88.79191629472234,-55.08294178470385,1.0
149.0,196888.0,317.9090576171875,408.06109619140625,324.2619934082031,195.60608572168,327.47060936823016,0.0,139566.0,46.30599729818596,-44.17492871723459,0.0
150.0,196888.0,317.9090576171875,408.06109619140625,324.2619934082031,195.60608572168,327.47060936823016,0.0,139831.0,74.11385004975784,-48.80113934458342,1.0
151.0,196888.0,317.9090576171875,408.06109619140625,324.2619934082031,195.60608572168,327.47060936823016,0.0,137149.0,69.99326570663459,-48.71275340772485,1.0
152.0,196888.0,317.9090576171875,408.06109619140625,324.2619934082031,195.60608572168,327.47060936823016,0.0,142682.0,70.15750133837867,-53.53227550512304,1.0
153.0,196888.0,317.9090576171875,408.06109619140625,324.2619934082031,195.60608572168,327.47060936823016,0.0,139975.0,75.3279876321534,-49.60719486710332,1.0
154.0,197230.0,317.9090576171875,408.06109619140625,324.2619934082031,195.68779191940718,327.64233539388766,0.0,147982.0,0.0771291147817692,0.5612294989724091,0.0
155.0,204647.0,319.9953918457031,409.83587646484375,323.04840087890625,198.9968662995919,328.39762483915746,0.0,147928.0,-0.18730634880625985,0.9001714874340792,0.0
156.0,205462.0,320.72503662109375,410.9778747558594,323.090087890625,199.3688380676527,328.7819946301332,0.0,149726.0,0.308418688706638,1.6057839100575393,0.0
157.0,206469.0,321.2872619628906,412.2636413574219,323.4900207519531,199.81608099906882,328.89664029904594,0.0,147506.0,0.13542540278615434,0.9698613945109287,0.0
158.0,207610.0,321.4417419433594,412.8269348144531,323.7911376953125,200.30532776909212,329.3098844553561,0.0,151794.0,0.41288827098344427,0.9209587631571026,0.0
159.0,207610.0,321.4417419433594,412.8269348144531,323.7911376953125,200.30532776909212,329.3098844553561,0.0,145188.0,67.3615260379554,-39.166486130315604,1.0
160.0,207610.0,321.4417419433594,412.8269348144531,323.7911376953125,200.30532776909212,329.3098844553561,0.0,145712.0,67.40989270523619,-38.252013595643064,1.0
161.0,207610.0,321.4417419433594,412.8269348144531,323.7911376953125,200.30532776909212,329.3098844553561,0.0,148904.0,71.544655155334,-41.620064718997526,1.0
162.0,207610.0,321.4417419433594,412.8269348144531,323.7911376953125,200.30532776909212,329.3098844553561,0.0,146479.0,74.89958231280673,-47.85968063997245,1.0
163.0,207610.0,321.4417419433594,412.8269348144531,323.7911376953125,200.30532776909212,329.3098844553561,0.0,148825.0,79.46652880514898,-49.795764786852146,1.0
164.0,208083.0,321.4417419433594,412.8269348144531,323.7911376953125,200.4342004424151,329.81509971497667,0.0,155130.0,1.036263547487465,-0.6853155501361243,0.0
165.0,213933.0,328.5337219238281,413.0441589355469,321.7516784667969,203.12406982063627,333.01471438637043,0.0,159422.0,-0.0599333583452335,0.6560791122054752,0.0
166.0,213933.0,328.5337219238281,413.0441589355469,321.7516784667969,203.12406982063627,333.01471438637043,0.0,137383.0,112.70715262731744,-48.35447125285327,1.0
167.0,215426.0,329.6881408691406,414.0697021484375,320.3736877441406,203.7898259351662,333.3781636520305,0.0,158690.0,-0.12390711901059603,0.2073052059802194,0.0
168.0,217378.0,331.3486022949219,414.4217834472656,319.2361145019531,204.64041278208416,334.61171527607934,0.0,163018.0,-0.24443490584587835,0.20859944264236674,0.0
169.0,217378.0,331.3486022949219,414.4217834472656,319.2361145019531,204.64041278208416,334.61171527607934,0.0,135348.0,114.32137700083945,-50.5561042727839,1.0
170.0,218325.0,332.1246337890625,415.1299133300781,318.3162841796875,205.06280156987913,335.15876831318275,0.0,163065.0,-0.04609781370209021,1.1626238335348376,0.0
171.0,220478.0,333.5917663574219,415.77874755859375,316.7070617675781,206.04525049698992,336.304921165302,0.0,163128.0,0.13676265045080527,0.6030989849734851,0.0
172.0,221655.0,334.6560363769531,415.53900146484375,315.66888427734375,206.5582937342905,337.08307581366347,0.0,164541.0,0.24868393395240673,0.4466869277228511,0.0
173.0,222606.0,335.7252502441406,415.2928161621094,314.6268310546875,206.98042538525834,337.8046772817503,0.0,166144.0,0.2658097231736747,0.5630515154296631,0.0
