t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px,moved,Rfix_px
195.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,121809.0,-0.0543107136652452,268.5416361375564,1.0,430.756717977938
196.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,122483.0,0.27603880900278455,268.3672282797184,1.0,430.756717977938
197.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,123993.0,2.155527951750514,265.5789719695939,1.0,430.756717977938
198.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,124655.0,0.15745330282959458,266.51905440456153,1.0,430.756717977938
199.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,125681.0,-0.5757315642152889,265.9606894078636,1.0,430.756717977938
200.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,126281.0,-0.65028322301157,266.73518861519256,1.0,430.756717977938
201.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,126361.0,-0.6625444612922138,268.57697162548595,1.0,430.756717977938
202.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,127704.0,-0.13401780944900565,266.51251251635335,1.0,430.756717977938
203.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,128331.0,0.7950526154966155,266.9849399607052,1.0,430.756717977938
204.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,129242.0,0.5276822824274632,266.34486965817234,1.0,430.756717977938
205.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,130441.0,0.7637118977031605,265.2741741467159,1.0,430.756717977938
206.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,131796.0,0.6477773783186649,265.05998521963045,1.0,430.756717977938
207.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,123598.0,-5.75492644378312,290.8390466859648,1.0,430.756717977938
208.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,133294.0,-0.5136521727425816,266.38936933197954,1.0,430.756717977938
209.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,133649.0,-0.15949355827115141,268.5650320012894,1.0,430.756717977938
210.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,135727.0,0.0682282870088784,263.65042318770446,1.0,430.756717977938
211.0,294969.0,373.05267333984375,363.0472717285156,334.4766540527344,230.65256362919328,342.42488226674556,0.0,282311.0,1.3738872474810933,-6.513805054740146,0.0,430.756717977938
212.0,294969.0,373.05267333984375,363.0472717285156,334.4766540527344,230.65256362919328,342.42488226674556,0.0,137455.0,-0.7478929337835325,263.5375246249486,1.0,430.756717977938
213.0,316481.0,394.4952697753906,376.9144287109375,335.48199462890625,239.1679507136021,357.64367742209566,0.0,283336.0,0.5214150822082502,-8.55169987641483,0.0,437.6989926051446
214.0,316481.0,394.4952697753906,376.9144287109375,335.48199462890625,239.1679507136021,357.64367742209566,0.0,139626.0,-1.444855105426882,264.3180021747331,1.0,437.6989926051446
215.0,318316.0,395.2687683105469,377.51092529296875,336.9222717285156,239.8224799418461,358.81297356244414,0.0,285677.0,3.737367791242491,-6.224924664061689,0.0,438.4394296471923
216.0,319758.0,395.2687683105469,377.51092529296875,336.9222717285156,240.19951235987136,359.4022815731698,0.0,282631.0,-2.1230730303848304,-17.086685812192286,0.0,438.4394296471923
217.0,321830.0,395.2687683105469,377.51092529296875,336.9222717285156,241.0391019342163,361.54017755010096,0.0,277150.0,6.7838021779190285,14.791243005205615,0.0,438.4394296471923
218.0,328021.0,397.5049133300781,379.1861572265625,335.1975402832031,242.78590099535623,364.0,0.0,280415.0,7.577272111453794,11.336945177900645,0.0,438.4394296471923
219.0,328021.0,397.5049133300781,379.1861572265625,335.1975402832031,242.78590099535623,364.0,0.0,146930.0,-1.2589838518805436,255.70158196888133,1.0,438.4394296471923
