particle,keep,proposed,reason,R_px_med,sym_med
407,0,reject,not-round;elongated,14.226981287683431,0.33394238
7059,0,reject,not-round;elongated,14.743239180639396,0.333497465
8248,0,reject,short;two-cores;not-round;elongated,10.263733927414254,0.33128646
3889,0,reject,not-round;elongated,16.405236411366356,0.329533205
1728,0,reject,not-round;elongated,15.00954577889385,0.32830169
6068,0,reject,not-round;elongated,13.832397963799396,0.32676467
688,0,reject,not-round;elongated,14.472813343073495,0.3257478
99,0,reject,not-round;elongated,11.4759010262539,0.32360375
3979,0,reject,not-round;elongated,10.83925838670758,0.319690015
3765,0,reject,rigid-doublet;not-round;elongated,11.757176582700971,0.31875166
949,0,reject,short;rigid-doublet;not-round,10.975132422916651,0.3186752349999999
89,0,reject,two-cores;not-round;elongated,14.702255000327463,0.3180212
4843,0,reject,not-round;elongated,11.702062789508076,0.31650728
6299,0,reject,short;two-cores;not-round;elongated,14.123696664553416,0.31554803
3163,0,reject,short;not-round;elongated,14.838152905650244,0.3149241
1863,0,reject,not-round;elongated,16.13543916600866,0.31484708
6360,0,reject,not-round;elongated,16.312278104623513,0.314104
2817,0,reject,not-round,11.416346074230487,0.3140564
6219,0,reject,not-round;elongated,9.480109415415615,0.31378436
3886,0,reject,not-round,10.690686367639415,0.31059083
7950,0,reject,not-round;elongated,14.225315418011446,0.31011552
6789,0,reject,short;not-round,10.078054294840276,0.30955032
4240,0,reject,two-cores;not-round,14.868178767548637,0.30702457
4200,0,reject,not-round;elongated,16.692636901560533,0.30683246
4268,0,reject,short;two-cores;not-round,10.853833705976491,0.3052399
3291,0,reject,short;rigid-doublet;not-round;elongated,11.201167942078852,0.30208534
6445,0,reject,short;not-round;elongated,10.461177132906707,0.30133048
7293,0,reject,short;not-round,11.162454443238262,0.300406995
8117,0,reject,short;two-cores;not-round,12.611049357737402,0.3002996
5969,0,reject,two-cores;not-round;elongated,11.1031080924332,0.2995114949999999
6657,0,reject,short;not-round;elongated,10.196777066315718,0.296844875
1099,0,reject,two-cores;not-round;elongated;mislink,10.554146011304288,0.2961486
6720,0,reject,short;not-round;elongated,10.262711630859345,0.294195695
1777,0,reject,two-cores;not-round;elongated,12.686740863012856,0.2941846099999999
7601,0,reject,not-round;elongated,14.601132984906268,0.291919765
6922,0,reject,not-round;elongated,10.657255654853522,0.29189545
5290,0,reject,not-round;elongated,11.127906408707958,0.29147455
3801,0,reject,not-round;elongated,14.72093453171484,0.29144475
7025,0,reject,short;two-cores;not-round;elongated,13.293138039707095,0.28994188
972,0,reject,short;not-round;defocus;mislink,17.00537360728026,0.288991435
2882,0,reject,not-round;elongated,13.64344230626556,0.2882464799999999
7901,0,reject,not-round;elongated,15.066089899106144,0.287138595
2061,0,reject,two-cores;not-round;elongated;mislink,10.573588634930273,0.28711211
4104,0,reject,not-round;elongated,12.05178365762128,0.28516389
7630,0,reject,two-cores;not-round;elongated,14.756201356852022,0.28504923
6651,0,reject,not-round;elongated,14.812784879098148,0.28409127
2321,0,reject,not-round,10.705527418548698,0.279893585
969,0,reject,not-round;elongated,11.078732623834474,0.27764229
8079,0,reject,not-round,10.057739957092652,0.2772845
117,0,reject,not-round,10.935537263121054,0.27637979
6928,0,reject,not-round;elongated,14.332035879357925,0.27604726
2986,0,reject,not-round,10.97238242146209,0.27553451
7794,0,reject,not-round;elongated,17.534235223058563,0.27350366
2372,0,reject,not-round;elongated,14.240067286686852,0.272312
5737,0,reject,not-round;elongated,13.37202497618569,0.272001665
3943,0,reject,short;two-cores;not-round;elongated,11.106137557198906,0.27098353
2369,0,reject,not-round,10.153395727316482,0.270309625
1905,0,reject,not-round,10.639169587436752,0.269584485
5569,0,reject,not-round,11.179958269656318,0.2693346
7769,0,reject,not-round;elongated,13.851608989081788,0.26488847
7189,0,reject,not-round;elongated,13.972831821059668,0.26476964
5404,0,reject,short;two-cores;not-round;elongated,9.75800072923665,0.26432679
4247,0,reject,short;not-round,9.374636830085349,0.26427037
5271,0,reject,two-cores;not-round;elongated;mislink,18.15426015290839,0.264068155
779,0,reject,not-round,10.542663580818008,0.261520345
7238,0,reject,two-cores;not-round;elongated,12.294096688751232,0.25689355
7339,0,reject,not-round,9.754991053703156,0.2568261
6443,0,reject,not-round;elongated,12.714115909046544,0.2549732799999999
5805,0,reject,short;two-cores;not-round;elongated,13.4063081981896,0.25398833
1412,0,reject,two-cores;not-round;elongated;mislink,10.630320968646252,0.252413075
7530,0,reject,short;not-round,10.516556356056308,0.25055735
