particle,keep,type,note,source,proposed,reason,x_med,y_med,R_px_med,sym_med
36,0,reject,,human,reject,not-round;elongated;defocus,1579.945556640625,832.0233154296875,10.404673721092523,3.8105052
2606,0,reject,,auto,reject,not-round;elongated,1428.4103393554688,413.6806945800781,11.447245787133213,3.7999568
1458,0,reject,,auto,reject,defocus,993.104736328125,55.46288299560547,7.568686158452102,3.7928498
6674,0,reject,,auto,reject,not-round,8.006685256958008,159.1744613647461,12.4110306837126,3.78974485
1755,0,reject,,auto,reject,not-round;elongated,1430.9427490234375,414.9996643066406,9.991524771107535,3.6991413
974,0,reject,,auto,reject,not-round;elongated,1081.745849609375,343.9679412841797,25.072367867574822,3.5829542
4304,0,reject,,auto,reject,not-round,1569.9803466796875,360.4128112792969,16.785811493239606,3.5395873
558,0,reject,,human,reject,not-round;elongated,1454.5433349609375,419.3595733642578,11.610486616589291,3.4884536
26,1,single,,human,reject,not-round,1129.1464233398438,558.048583984375,17.136090854425458,3.4877846000000003
3075,0,reject,,auto,reject,not-round;elongated,1074.1183471679688,388.4138641357422,16.785066895718714,3.4002452
4334,0,reject,,auto,reject,elongated,1182.081787109375,764.1809997558594,12.140793277903589,3.3990774
6747,0,reject,,auto,reject,not-round;elongated,1423.3179931640625,429.3546752929688,8.649706976681198,3.214
1579,0,reject,,auto,reject,two-cores;not-round;elongated,413.7148742675781,282.0576171875,8.454539526725766,3.188671
2283,0,reject,,auto,reject,short;two-cores;not-round;elongated,427.673095703125,282.37408447265625,8.734417696546892,3.0040761
6972,0,reject,,auto,reject,not-round,1531.78564453125,323.27032470703125,15.584492233138446,2.9899094
2402,0,reject,,auto,reject,not-round,1562.376708984375,347.6025695800781,12.864327104007412,2.933982
588,0,reject,,human,reject,two-cores;not-round;elongated,391.2379760742188,312.7689208984375,9.222463190419267,2.886568
5354,0,reject,,auto,reject,not-round;elongated,1195.87548828125,752.0447387695312,12.27682009700614,2.8832226
4973,0,reject,,auto,reject,not-round;elongated,36.05892562866211,219.64551544189453,14.776329098408828,2.7476090500000003
2611,0,reject,,auto,reject,two-cores;not-round;elongated,427.7374267578125,281.1250305175781,9.08068504466586,2.7322733
4785,0,reject,,auto,reject,two-cores;not-round;elongated;defocus,425.2590026855469,262.3139343261719,10.012468249383025,2.7192621
5778,0,reject,,auto,reject,short;not-round,1559.305908203125,314.6210632324219,13.079457751190295,2.7181816
1313,0,reject,,auto,reject,not-round;elongated,1172.097900390625,746.069580078125,11.8250652196745,2.6429422
970,0,reject,,auto,reject,short;not-round,1601.12353515625,826.2760925292969,17.855422703120862,2.6256219
39,0,reject,,human,reject,not-round;elongated,1461.9131469726562,402.18006896972656,14.149567325894658,2.6049774
42,1,single,,human,reject,not-round;defocus,726.3849182128906,213.0301818847656,10.189562807360906,2.5847454
6593,0,reject,,auto,reject,not-round,1593.9803466796875,831.0298156738281,23.08003183135815,2.52559115
3398,0,reject,,auto,reject,two-cores;not-round;elongated;defocus,1193.794921875,734.75244140625,11.838850334653158,2.4146137
1049,0,reject,,auto,reject,two-cores;not-round;elongated;defocus,1572.8237915039062,844.9245910644531,10.458535018232956,2.4122652
6225,0,reject,,auto,reject,not-round;elongated,1187.5615234375,746.6218872070312,11.981669456387866,2.37982
1209,0,reject,,auto,reject,not-round;elongated,1548.0814819335938,359.2320556640625,11.782590850494916,2.354627
5668,0,reject,,auto,reject,two-cores;not-round;elongated,436.976806640625,285.08319091796875,8.917104753579364,2.340954
6165,0,reject,,auto,reject,not-round;elongated;defocus,432.8647766113281,275.3733673095703,8.776161678189768,2.24216245
6569,0,reject,,auto,reject,short;two-cores;not-round;elongated,423.1783142089844,302.5653991699219,10.362804916554992,2.209195
763,0,reject,,auto,reject,two-cores;not-round;elongated,818.2235107421875,785.9850463867188,18.748747458415437,2.2018454
5205,0,reject,,auto,reject,short;not-round,1592.9852294921875,831.6954345703125,21.38924228749703,2.1750472
2654,0,reject,,auto,reject,rigid-doublet;not-round;elongated;defocus,21.590850830078125,231.9272918701172,16.325369886458592,2.0806568
1881,0,reject,,auto,reject,not-round;elongated,1083.1817626953125,396.2648315429688,13.314157757199531,2.0730114
28,1,single,,human,reject,not-round;defocus,993.412109375,128.59645080566406,11.37879729324595,2.0330625
5305,0,reject,,auto,reject,not-round;elongated;defocus,1575.1126708984375,332.175048828125,12.436678409598768,2.0190094
1676,0,reject,,auto,reject,not-round,1558.4573974609375,369.5201873779297,12.002776017984162,1.99605405
996,0,reject,,auto,reject,short;two-cores;not-round;elongated;defocus,390.12428283691406,295.72056579589844,11.980358257693007,1.9596766
3214,0,reject,,auto,reject,rigid-doublet;not-round;elongated,1432.0245361328125,419.6051788330078,13.08228310515016,1.94802585
