t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px
153.0,39729.0,192.830078125,391.3382873535156,324.49945068359375,116.41697906174896,224.32119828495925,0.0,23788.0,0.9294893218946072,-0.1882221257436072
154.0,39946.0,193.5791473388672,391.8249206542969,325.091796875,116.67551118586123,224.51558964052037,0.0,23983.0,0.8060322569807568,-0.2733690825486974
155.0,40174.0,193.6025848388672,392.41693115234375,324.3775329589844,116.98061548441531,225.0254428836086,0.0,23801.0,0.8253805086314969,-0.2575005394617733
156.0,40447.0,193.9825439453125,392.7900695800781,324.5173034667969,117.31776939452692,225.41539430726758,0.0,24198.0,0.8461379858479177,-0.2266498745131571
157.0,40695.0,194.37432861328125,393.427978515625,324.3364562988281,117.622050463837,225.72992712531496,0.0,24369.0,0.9025120809368445,-0.15516283963268052
158.0,40911.0,194.4917449951172,394.8728332519531,322.6495056152344,117.84201990614197,226.05198514720473,0.0,24151.0,0.9286447255025223,-0.23847324807064751
159.0,41136.0,194.53976440429688,394.9051818847656,322.686279296875,118.12929944269756,226.497240601293,0.0,24788.0,0.9424130454923443,-0.14784297442247407
160.0,41324.0,194.62225341796875,396.29083251953125,320.9782409667969,118.36284719833367,226.89259570228427,0.0,25144.0,1.0070655863513593,-0.2716493249215546
161.0,41541.0,194.682373046875,397.1065979003906,319.9726257324219,118.59728143443695,227.1079038695043,0.0,24110.0,1.0068301663084185,-0.1642530545042291
162.0,41713.0,195.0366668701172,398.1410827636719,319.15191650390625,118.75016967414207,227.2324800318123,0.0,24519.0,0.9627814493308051,-0.15060753672020155
163.0,41903.0,195.0366668701172,398.1410827636719,319.15191650390625,118.9228556250357,227.24656213021134,0.0,25418.0,1.0134942749939455,-0.22168451807982592
164.0,42110.0,195.13095092773438,399.0116271972656,318.0988464355469,119.0965916353765,227.40272645683032,0.0,24967.0,1.0105500434272017,-0.2177498696865996
165.0,42753.0,195.79434204101562,403.59136962890625,312.57904052734375,119.85416133095761,227.37853900489378,0.0,25147.0,1.0078206493861899,-0.2038758379770229
166.0,43009.0,196.1343536376953,403.74798583984375,312.95941162109375,120.07042010608095,227.65719841371327,0.0,25076.0,0.9872029652046876,-0.19510878872574722
167.0,43166.0,196.589111328125,404.4192810058594,312.7660827636719,120.25187404226946,227.8464395157405,0.0,24893.0,1.0046085424218063,-0.2827059187134182
168.0,43472.0,196.589111328125,404.4192810058594,312.7660827636719,120.53420316594527,227.9788367135985,0.0,24556.0,0.9765254332768336,-0.24823028812483017
169.0,43836.0,196.64926147460938,404.44732666015625,312.8330383300781,120.90513525075409,228.25698231928914,0.0,25276.0,0.9257608682444243,-0.23361942804689306
170.0,44180.0,196.96298217773438,404.5934753417969,313.18206787109375,121.2248081525699,228.48632324283633,0.0,23673.0,0.8853092014776394,-0.2709316907524908
171.0,44397.0,197.0066375732422,404.6573181152344,313.1644592285156,121.4530855407344,228.79335646508315,0.0,24708.0,0.9132196623670552,-0.24783691061202262
172.0,44654.0,197.09461975097656,405.0949401855469,312.65643310546875,121.6894505679649,229.10696191953662,0.0,25286.0,0.9333416014095519,-0.3619835164412848
173.0,44903.0,197.1889190673828,405.5519714355469,312.1259460449219,121.95717161530564,229.49074055394914,0.0,25190.0,0.85921044255997,-0.4100465653927472
174.0,45232.0,197.3090362548828,406.11785888671875,311.4690856933594,122.22629265630093,229.87953350627768,0.0,25194.0,0.9497657366073327,-0.5145465388839625
175.0,45476.0,198.42041015625,406.6695861816406,312.66552734375,122.46335933126186,230.07933413598462,0.0,24633.0,0.9237609026947666,-0.24318301139913956
176.0,45734.0,199.56988525390625,407.6903076171875,313.2038269042969,122.68960687220012,230.41701326073994,0.0,24168.0,0.9457113375216295,-0.2944483482891087
177.0,45967.0,200.04981994628906,407.9312438964844,313.7151794433594,122.92067134968465,230.7552816296953,0.0,24377.0,0.8238511513472986,-0.24893757536830208
178.0,46266.0,200.63841247558594,408.640380859375,313.7021179199219,123.28530085159524,231.28986130809517,0.0,24138.0,1.0193583250271558,-0.2826755206330631
179.0,46458.0,200.8238525390625,409.2848205566406,313.0408630371094,123.51892731030962,231.66484409702196,0.0,24666.0,0.7929014472948666,-0.18893639592511136
180.0,46644.0,201.3856964111328,409.5748291015625,313.63031005859375,123.69569336703242,231.9954738435906,0.0,24687.0,0.8549931762933056,-0.2092754678345159
181.0,46803.0,201.49998474121094,410.2381896972656,312.801513671875,123.87332020735059,232.17364190045637,0.0,25886.0,0.8805852073238611,-0.1179054858245081
182.0,46983.0,201.83721923828125,410.4137268066406,313.1544494628906,124.044947086963,232.30906117967749,0.0,24889.0,0.9284456984463532,-0.16855686321980556
183.0,47351.0,208.14488220214844,416.5,302.0,124.40228168972847,232.59406699226014,0.0,26055.0,1.0266399777741526,-0.28620294638250243
184.0,47691.0,208.14488220214844,416.5,302.0,124.7905262912254,233.0042917960851,0.0,25763.0,1.1628689872746918,-0.3982103592225599
185.0,47986.0,211.71336364746094,415.5,307.5,125.2302028391317,233.8188400407165,0.0,26162.0,1.2220340613364442,-0.4017889106604571
186.0,48162.0,212.55833435058594,415.0,309.0,125.53787033009863,234.47174669882938,0.0,24961.0,1.0769422091865408,-0.3606933242110699
187.0,48257.0,213.26168823242188,415.5,309.5,125.68065494117529,234.7960817374822,0.0,25378.0,1.0909914885861554,-0.43723906025547876
188.0,48369.0,213.3355255126953,415.0,310.0,125.84823904483764,235.01999869603392,0.0,25863.0,0.9889097285919206,-0.32719479024729026
189.0,48477.0,213.3355255126953,415.0,310.0,125.99246145126743,235.27430798963155,0.0,25057.0,0.9842289352136504,-0.326696842540116
190.0,48676.0,213.3355255126953,415.0,310.0,126.29330978942792,235.84793829744896,0.0,24827.0,0.8648425577442822,-0.30774417171755886
191.0,48865.0,213.57737731933594,416.0,309.5,126.61290534791328,236.59332187165478,0.0,25671.0,0.9213484139939965,-0.32998982443712066
192.0,49016.0,214.2808837890625,416.5,310.0,126.83788974891938,237.00210969525145,0.0,24929.0,0.7878186718909319,-0.2806185680478279
193.0,49207.0,215.4449920654297,416.5,311.5,127.13166341951161,237.54599552850055,0.0,24294.0,0.8272823736184591,-0.5250198359960905
194.0,49403.0,216.22337341308594,416.5,312.5,127.38903061983595,237.87601812709073,0.0,25385.0,0.7352223424472868,-0.32886434327349434
195.0,49577.0,216.6132354736328,416.5,313.0,127.61631115637678,238.30442715149042,0.0,24499.0,0.6686195171380405,-0.33617934939121596
196.0,49690.0,216.69171142578125,416.0,313.5,127.76561925238339,238.53720883753127,0.0,24849.0,0.7276003298840124,-0.4263060315342386
197.0,49815.0,217.3161163330078,417.0,313.5,127.92752374700436,238.89118861942146,0.0,25102.0,0.6874370842523376,-0.290759401320031
198.0,49966.0,218.01902770996094,417.5,314.0,128.1198457658665,239.30106560565082,0.0,26866.0,0.8654687055625345,-0.4376819702142143
199.0,50166.0,218.17721557617188,416.5,315.0,128.36606567467481,239.92707225321615,0.0,25382.0,0.8358053690183169,-0.44400272261020746
200.0,50334.0,218.9618682861328,416.5,316.0,128.63098302459719,240.52026941611388,0.0,25592.0,0.8719015170888724,-0.32907611575001283
201.0,50471.0,219.61795043945312,417.0,315.0,128.82695437356332,240.8920905133993,0.0,27076.0,0.9211028010357722,-0.4137939730057951
202.0,50656.0,223.36135864257812,408.5,317.0,129.15573692090268,241.29235376844932,0.0,25596.0,0.8362063062178322,-0.46696812946231603
203.0,50835.0,223.36135864257812,408.5,317.0,129.4415556459285,241.83465425782137,0.0,26605.0,0.8574135916139767,-0.2574337679756127
204.0,50995.0,223.4285125732422,409.0,316.5,129.73452039966676,242.61100543111328,0.0,27107.0,0.8990885149321457,-0.39568239802264316
205.0,51232.0,223.9163818359375,410.5,315.5,130.06414570128618,242.90944814889355,0.0,26327.0,0.9571958888639074,-0.3673801353301087
